filename,is_valuable
pass_0000.png,0
pass_0001.png,0
pass_0002.png,0
pass_0003.png,1
pass_0004.png,1
pass_0005.png,1
pass_0006.png,1
pass_0007.png,0
pass_0008.png,0
pass_0009.png,0
pass_0010.png,0
pass_0011.png,1
pass_0012.png,1
pass_0013.png,1
pass_0014.png,0
pass_0015.png,0
pass_0016.png,1
pass_0017.png,0
pass_0018.png,0
pass_0019.png,1
pass_0020.png,1
pass_0021.png,0
pass_0022.png,1
pass_0023.png,1
pass_0024.png,0
pass_0025.png,1
pass_0026.png,0
pass_0027.png,1
pass_0028.png,0
pass_0029.png,1
pass_0030.png,0
pass_0031.png,1
pass_0032.png,0
pass_0033.png,0
pass_0034.png,0
pass_0035.png,0
pass_0036.png,0
pass_0037.png,0
pass_0038.png,0
pass_0039.png,0
pass_0040.png,0
pass_0041.png,0
pass_0042.png,1
pass_0043.png,1
pass_0044.png,1
pass_0045.png,0
pass_0046.png,0
pass_0047.png,0
pass_0048.png,0
pass_0049.png,0
pass_0050.png,0
pass_0051.png,0
pass_0052.png,0
pass_0053.png,0
pass_0054.png,1
pass_0055.png,0
pass_0056.png,1
pass_0057.png,1
pass_0058.png,0
pass_0059.png,0
pass_0060.png,0
pass_0061.png,0
pass_0062.png,0
pass_0063.png,0
pass_0064.png,1
pass_0065.png,0
pass_0066.png,0
pass_0067.png,0
pass_0068.png,0
pass_0069.png,0
pass_0070.png,0
pass_0071.png,1
pass_0072.png,1
pass_0073.png,1
pass_0074.png,1
pass_0075.png,0
pass_0076.png,1
pass_0077.png,0
pass_0078.png,0
pass_0079.png,0
pass_0080.png,0
pass_0081.png,0
pass_0082.png,0
pass_0083.png,0
pass_0084.png,0
pass_0085.png,0
pass_0086.png,1
pass_0087.png,1
pass_0088.png,0
pass_0089.png,0
pass_0090.png,0
pass_0091.png,1
pass_0092.png,1
pass_0093.png,0
pass_0094.png,1
pass_0095.png,0
pass_0096.png,0
pass_0097.png,0
pass_0098.png,1
pass_0099.png,1
pass_0100.png,0
pass_0101.png,0
pass_0102.png,0
pass_0103.png,0
pass_0104.png,1
pass_0105.png,1
pass_0106.png,1
pass_0107.png,0
